ID (Unique record ID),"Species (Dominant tree species, Latin ...)","Spec code (Tree species code, see ""Speci...)","Trees comp (Tree species composition, e.g...)",Comm (Structure of age),Origin,Site ind (Site index code (from 0 to 12...),Standage,Trees canopy h [m] (Average height of the stand -...),DBH [cm] (Average),Trees [#/ha],Stocking rel (Ratio of basal area of a plot...),Tree BA [m**2/ha] (total cross-sectional area of...),Trees grow stock vol [m**3/ha] (Volume of stems of all living...),Stemoverbark,Biom live dm [t/ha] (Bark of stem),Biom live dm [t/ha] (Branches over bark),Foliage,Stumproots,Biom live dm [t/ha] (Roots with the diameter less ...),Biom live dm [t/ha] (Roots with the diameter less ...),Biom live dm [t/ha] (Roots with the diameter less ...),Biom live dm [t/ha] (Roots with the diameter less ...),Biom live dm [t/ha] (Above-ground live biomass of ...),Biom live dm [t/ha] (Above-ground live biomass of ...),Biom live dm [t/ha] (Above-ground live biomass of ...),Biom live dm [t/ha] (Total live biomass of understory),Biom live dm [t/ha] (Above-ground live biomass of ...),Biom live dm [t/ha] (Total live biomass of green f...),Biom dm [t/ha] (Snags),Biom dm [t/ha] (Logs),Biom dm [t/ha] (Coarse woody debris),Biom dm [t/ha] (Dead branches of living trees),Biom dm [t/ha] (Dead roots),Biom dm [t/ha] (Litter),Country (Country code (ISO ALPHA-3)),Latitude,Longitude,Altitude [m],Date (Year of measurements),Trees (Number of trees selected for ...),LAI,"Ecoregion (Code of ecoregion (Olson, 200...)",Reference
10108,Acacia dealbata,121,100-Ac,,Natural,,4,5.3,6.1,2000,,,13.8,7,,3.6,2.6,5.8,,,,,,,,,,,,,,,,,JPN,35,134,,1965,,,80440,"Fujimori, Yamamoto, 1967"
10107,Acacia dealbata,121,100-Ac,,Natural,,4,5.8,6.5,4000,,,34.3,18,,7.9,3.9,12.9,,,,,,,,,,,,,,,,,JPN,35,134,,1965,,,80440,"Fujimori, Yamamoto, 1967"
10106,Acacia dealbata,121,100-Ac,,Natural,,4,6.7,7.4,4000,,,49.1,24.2,,7.4,4.4,16.2,,,,,,,,,,,,,,,,,JPN,35,134,,1965,,,80440,"Fujimori, Yamamoto, 1967"
10105,Acacia mollissima,121,100-Ac,,Natural,,4,6.5,4.3,14400,,,99,53.8,,7.8,10.1,9.3,,,,,,,,,,,,,,,,,JPN,33.5,130.5,60,1961,,,80440,"Tadaki et al., 1963; Tadaki, 1965a,1968a"
10109,Acacia dealbata,121,100-Ac,,Natural,,5,7.8,9.7,1052,,,32.6,13.4,,7.2,2.9,5.9,,,,,,,,,,,,,,,,,JPN,33.5,132.5,,1971,,,80440,"Ando, Takeuchi, 1973"
9837,Alnus incana,126,100-Al,,Natural,,3,,,40000,,,5.3,2.71,,0.94,1.4,1.34,,,,,,,,,,,,,,,,,SWE,60.82,16.5,185,1987,,,80608,"Rytter, 1989"
9838,Alnus incana,126,100-Al,,Natural,,5,,,40000,,,24,12.8,,2.34,3.35,4.16,,,,,,,,,,,,,,,,,SWE,60.82,16.5,185,1987,,,80608,"Rytter, 1989"
9840,Alnus incana,126,100-Al,,Natural,,6,,,40000,,,52,16.1,,2.86,2.54,4.55,,,,,,,,,,,,,,,,,SWE,60.82,16.5,185,1987,,,80608,"Rytter, 1989"
9839,Alnus incana,126,100-Al,,Natural,,6,,,40000,,,56,17.4,,3.09,3.37,5.3,,,,,,,,,,,,,,,,,SWE,60.82,16.5,185,1987,,,80608,"Rytter, 1989"
9842,Alnus incana,126,100-Al,,Natural,,7,,,40000,,,55,23.3,,4.14,2.61,5.91,,,,,,,,,,,,,,,,,SWE,60.82,16.5,185,1987,,,80608,"Rytter, 1989"
9841,Alnus incana,126,100-Al,,Natural,,7,,,40000,,,69,29.3,,5.21,2.83,7.68,,,,,,,,,,,,,,,,,SWE,60.82,16.5,185,1987,,,80608,"Rytter, 1989"
5001,Alnus glutinosa,127,100-Al,,Natural,5,16,9,8.4,5719,2,,137,54.9,,4.4,2.79,4.3,,,,,,,,,,,,,,,,,BEL,50.02,5.08,265,1973,,,80445,"Kestemont, 1975 (Cited by Cannell, 1982)"
9161,Alnus incana,126,100-Al,,Natural,8,33,12,9.1,4500,1.7,,223,99.6,,8.46,1.86,12.5,,,,,,,,,,,,,,,,,RUS,58,33,,1978,,,80436,"Lazukova, Shuytsev, 1980"
3800,Alnus incana,126,100-Al,,Natural,9,35,14.3,15,752,0.5,,90,40.4,,4.77,0.82,4.87,,,,,,,,,,,,,,,,,RUS,58,33,,1978,,,80436,"Lazukova, Shuytsev, 1980"
1793,Alnus glutinosa,127,100-Al,,Natural,6,66,26.1,26,692,0.7,,356,177.4,,18.156,3.204,46.28,,,,,,,,,,,,,,,,,LTU,55.5,23.6,,1976,,,80436,"Kapustinskaite, 1978"
1794,Alnus glutinosa,127,100-Al,,Natural,6,70,25,26.2,670,0.8,,361,157.8,,15.162,2.888,43.32,,,,,,,,,,,,,,,,,LTU,55.5,23.6,,1976,,,80436,"Kapustinskaite, 1978"
9110,Populus tremula,125,100-As,,Natural,6,19,11.7,8.8,3100,,,88.2,34.3,,3.8,2.2,19.4,,,,,,,,,,,,,,,,,RUS,56.25,32.67,,1949,,,80436,"Smirnova, 1951; Remezov et al., 1959"
9127,Populus tremula,125,100-As,,Natural,4,25,17.3,10.8,3340,,,332,135,,12,3,35,,,,,,,,,,,,,,,,,RUS,51.83,39.58,,1951,,,80419,"Remezov, Bykova, 1953"
3361,Populus tremula,125,100-As,,Natural,6,25,10.2,8.3,5550,1.7,,186,76.6,13.5,7.7,3.1,17.2,,,,,,,,,,,,,,,,,RUS,56.13,92.19,,1998,,,80817,"Vedrova et al., 2000"
2500,Populus tremula,125,100-As,,Natural,7,26,11.3,12.4,2640,1.41,,175,78.14,,26.25,5.775,26.425,,,,,,,,,9.275,,,,,,,,RUS,52,42,,1970,,,80419,"Prozorovski, Samoilova, 1972"
9135,Populus tremula,125,100-As,,Natural,5,26,12,12.6,2645,,,184,77.2,,29,6.35,36,,,,,,,,,,,,,,,,,RUS,52,42,,1970,,,80419,"Prozorovski, Samoilova, 1972"
9114,Populus tremula,125,100-As,,Natural,4,30,24,32,880,,,772,331.4,,39.98,6.18,44.1,,,,,,,,,,,,,,,,,RUS,58,33,,1978,,,80436,"Lazukova, Shuytsev, 1980"
9598,Populus tremula,125,100-As,,Natural,8,40,14,11,1370,,,247,106.3,,18.6,4.11,28.2,,,,,,,,,,,,,,,,,UKR,45,35,450,1958,,,80416,"Dzens-Litovskaya, 1960"
5784,Populus tremula,125,100-As,,Natural,6,41,19.7,23.2,526,,,192,76,10,22.2,2.4,55,,,,,,,,,,,,,,,,,KAZ,53.2,64,,1996,,,80810,"Usoltsev, 1998"
9157,Populus tremula,125,100-As,,Natural,7,44,18.4,13.2,1704,,,210,121,,15.3,3.26,50,,,,,,,,,,,,,,,,,RUS,58.5,83.5,,1974,,,80611,"Gabeyev, 1976"
9128,Populus tremula,125,100-As,,Natural,4,50,28,25.2,648,,,500,203,,11,3,37,,,,,,,,,,,,,,,,,RUS,51.83,39.58,,1951,,,80419,"Remezov, Bykova, 1953"
9120,Populus tremula,125,100-As,,Natural,6,54,22.6,20.2,1032,,,411,147,,8.9,1.8,26.8,,,,,,,,,,,,,,,,,RUS,54.5,38.83,,1966,,,80419,"Vznuzdaev et al., 1969, 1971; Kashlev, 1968"
