studyName,location,latitude,longitude,vegetation,map,mat,grouping,lai,species,speciesMatched,family,pft,growingCondition,status,light,age,a.lf,a.ssba,a.ssbh,a.ssbc,a.shba,a.shbh,a.shbc,a.sbba,a.sbbh,a.sbbc,a.stba,a.stbh,a.stbc,a.cp,a.cs,h.t,h.c,d.ba,d.bh,h.bh,d.cr,c.d,m.lf,m.ss,m.sh,m.sb,m.st,m.so,m.br,m.rf,m.rc,m.rt,m.to,a.ilf,ma.ilf,r.st,r.ss,r.sb,r.sh,n.lf,n.ss,n.sb,n.sh,n.rf,n.rc
Poorter1999,"Riberalta, Bolivia",-11,-66,TropRF,1780,27,NA,NA,Aspidosperma tambopatense,Aspidosperma parvifolium,Apocynaceae,EA,CG,NA,100,NA,0.000103,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77E-06,NA,NA,2.00E-04,NA,0.065,NA,0.0015,NA,NA,0.014142136,NA,4.00E-06,NA,NA,NA,7.80E-05,8.20E-05,NA,NA,NA,0.00011,0.000192,3.00E-05,0.039,680,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,3500,NA,NA,NA,Laureliopsis philippiana,Laureliopsis philippiana,Atherospermataceae,EA,FW,NA,NA,NA,7.00E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.96E-07,NA,NA,0.000224046,0.00046688,0.031,0.019908548,5.00E-04,NA,NA,0.016889767,0.011091452,5.00E-06,NA,NA,NA,4.00E-06,9.00E-06,NA,NA,NA,7.00E-06,1.60E-05,1.78E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,3500,NA,NA,NA,Laureliopsis philippiana,Laureliopsis philippiana,Atherospermataceae,EA,FW,NA,NA,NA,9.00E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26E-07,NA,NA,0.000254959,0.00049914,0.017,0.006995091,0.000401,NA,NA,0.018017322,0.010004909,4.00E-06,NA,NA,NA,2.00E-06,6.00E-06,NA,NA,NA,3.00E-06,9.00E-06,2.17E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,3500,NA,NA,NA,Eucryphia cordifolia,Eucryphia cordifolia,Cunionaceae,EA,FW,NA,NA,NA,0.00019,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.07E-08,NA,NA,0.00029416,0.000598893,0.037,0.025235208,3.00E-04,NA,NA,0.019352936,0.011764792,6.00E-06,NA,NA,NA,4.00E-06,1.00E-05,NA,NA,NA,4.00E-06,1.40E-05,4.66E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,3500,NA,NA,NA,Eucryphia cordifolia,Eucryphia cordifolia,Cunionaceae,EA,FW,NA,NA,NA,0.00012,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26E-07,NA,NA,0.000306198,0.000665648,0.027,0.012116201,0.000401,NA,NA,0.019744959,0.014883799,4.00E-06,NA,NA,NA,3.00E-06,7.00E-06,NA,NA,NA,2.00E-06,9.00E-06,2.88E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,3500,NA,NA,NA,Eucryphia cordifolia,Eucryphia cordifolia,Cunionaceae,EA,FW,NA,NA,NA,0.00021,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26E-07,NA,NA,0.000321409,0.001120138,0.032,0.009342766,0.000401,NA,NA,0.02022945,0.022657234,1.00E-05,NA,NA,NA,1.00E-05,2.00E-05,NA,NA,NA,1.00E-05,3.00E-05,2.64E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,3500,NA,NA,NA,Aristotelia chilensis,Aristotelia chilensis,Elaeocarpaceae,EA,FW,NA,NA,NA,0.00014,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.07E-08,NA,NA,0.000327379,0.000593018,0.023,0.012090878,3.00E-04,NA,NA,0.020416461,0.010909122,3.00E-06,NA,NA,NA,2.00E-06,5.00E-06,NA,NA,NA,2.00E-06,7.00E-06,3.59E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,3500,NA,NA,NA,Eucryphia cordifolia,Eucryphia cordifolia,Cunionaceae,EA,FW,NA,NA,NA,0.00019,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.07E-08,NA,NA,0.000350909,0.000530593,0.026,0.018403411,3.00E-04,NA,NA,0.021137436,0.007596589,4.00E-06,NA,NA,NA,4.00E-06,8.00E-06,NA,NA,NA,2.00E-06,1.00E-05,2.75E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk0000a,Miranda Scenic Reserve,-37.25,175.3,TempRF,NA,NA,NA,NA,Kunzea ericoides,Kunzea ericoides,Myrtaceae,EA,FW,NA,NA,NA,0.00029,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.56E-07,NA,NA,0.000378096,0.001830135,0.06,0.024370678,0.000762,NA,NA,0.021940984,0.035629322,1.00E-05,NA,NA,NA,6.00E-06,1.60E-05,NA,NA,NA,9.00E-06,2.50E-05,8.31E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,3500,NA,NA,NA,Amomyrtus luma,Amomyrtus luma,Myrtaceae,EA,FW,NA,NA,NA,0.00024,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.83E-07,NA,NA,0.000415842,0.00107135,0.045,0.025612949,6.00E-04,NA,NA,0.023010139,0.019387051,1.30E-05,NA,NA,NA,8.00E-06,2.10E-05,NA,NA,NA,1.20E-05,3.30E-05,3.00E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
